Date,Equity
2015-02-03,1.0092229876618697
2015-02-04,1.0027076690626184
2015-02-05,1.0095294840367244
2015-02-06,0.9998564030183786
2015-02-09,0.995909700164334
2015-02-10,1.002179066183711
2015-02-11,1.0010262919380806
2015-02-12,1.0112986900667151
2015-02-13,1.012953302708748
2015-02-17,1.0121586701553034
2015-02-18,1.0141655761403274
2015-02-19,1.012992961159679
2015-02-20,1.0198745770489765
2015-02-23,1.0193480786558127
2015-02-24,1.0249752104040368
2015-02-25,1.0250691608947828
2015-02-26,1.0212471082241863
2015-02-27,1.022248671972126
2015-03-03,1.0175057939300653
2015-03-04,1.015076563803893
2015-03-05,1.0169787990872046
2015-03-06,1.0068614087010634
2015-03-09,1.0087789867120445
2015-03-10,0.9965093551344681
2015-03-11,0.999333354032612
2015-03-12,1.0059726856406654
2015-03-13,1.0023019224164866
2015-03-16,1.0112474357363967
2015-03-17,1.0094166564367981
2015-03-18,1.02014089195031
2015-03-19,1.0124284150789038
2015-03-20,1.026033557752073
2015-03-23,1.0280110800361006
2015-03-24,1.028726894965654
2015-03-25,1.0234533593492523
2015-03-26,1.0182443081163361
2015-03-27,1.0211314051705276
2015-03-30,1.0240953002928495
2015-03-31,1.0158119094359463
2015-04-02,1.0204713662718796
2015-04-06,1.0259995358162026
2015-04-07,1.0245996264967936
2015-04-08,1.0250711046889045
2015-04-09,1.0248683136466334
2015-04-10,1.0267250943980037
2015-04-13,1.0234143659635666
2015-04-14,1.0270347436960394
2015-04-15,1.0292191294115671
2015-04-16,1.0286379523534184
2015-04-17,1.020500590261983
2015-04-20,1.0223075754698907
2015-04-21,1.0259684593635727
2015-04-22,1.0268776463794564
2015-04-23,1.0287309916543874
2015-04-24,1.0316782889241474
2015-04-27,1.0354295583915114
2015-04-28,1.0353794081402583
2015-04-29,1.0283666111000396
2015-04-30,1.024726099566197
2015-05-04,1.0226200721617191
2015-05-05,1.0135984693364548
2015-05-06,1.0099624189842138
2015-05-07,1.0146725836854453
2015-05-08,1.025015757848794
2015-05-11,1.0131786182376703
2015-05-12,1.0134998677430178
2015-05-13,1.0123866396428576
2015-05-14,1.021403366172289
2015-05-15,1.0284040342982201
2015-05-18,1.0227868653255459
2015-05-19,1.0191826800608514
2015-05-20,1.0200628335824016
2015-05-21,1.024841876406087
2015-05-22,1.0221767638518855
2015-05-26,1.0180793631673055
2015-05-27,1.0245508677658084
2015-05-28,1.0231452954298144
2015-05-29,1.018069402355953
2015-06-02,1.0180468704760282
