Date,Ret
2015-02-03,0.009222987661869636
2015-02-04,-0.006455777047197223
2015-02-05,0.006803393635638048
2015-02-06,-0.009581771678095832
2015-02-09,-0.003947269670054927
2015-02-10,0.006295114926928033
2015-02-11,-0.0011502677361045135
2015-02-12,0.010261866457819277
2015-02-13,0.0016361265551760843
2015-02-17,-0.000784471062308329
2015-02-18,0.001982797800582236
2015-02-19,-0.0011562362283199787
2015-02-20,0.006793350154594657
2015-02-23,-0.0005162383738276304
2015-02-24,0.005520324083648102
2015-02-25,9.166123218622165e-05
2015-02-26,-0.003728580291363248
2015-02-27,0.0009807261532236444
2015-03-03,-0.004639651947809047
2015-03-04,-0.002387436160721526
2015-03-05,0.0018739820730202283
2015-03-06,-0.009948477190696697
2015-03-09,0.0019045103868415296
2015-03-10,-0.012162854043547456
2015-03-11,0.0028338910052308946
2015-03-12,0.006643760644295319
2015-03-13,-0.003648969078957651
2015-03-16,0.008924968734314205
2015-03-17,-0.0018104167535073488
2015-03-18,0.010624191155481905
2015-03-19,-0.007560207548058931
2015-03-20,0.013438128040004483
2015-03-23,0.0019273465951350948
2015-03-24,0.0006963105198518969
2015-03-25,-0.005126273690528719
2015-03-26,-0.00508968111280445
2015-03-27,0.0028353677316717814
2015-03-30,0.0029025599519457135
2015-03-31,-0.008088496114115988
2015-04-02,0.004586928734199084
2015-04-06,0.005417270613402235
2015-04-07,-0.0013644346518103187
2015-04-08,0.0004601584657247374
2015-04-09,-0.0001978311956540321
2015-04-10,0.001811726176569528
2015-04-13,-0.0032245519784225673
2015-04-14,0.0035375482823753646
2015-04-15,0.0021268859003411487
2015-04-16,-0.0005646776682832726
2015-04-17,-0.007910812616643087
2015-04-20,0.0017706851178240857
2015-04-21,0.003581000455757508
2015-04-22,0.0008861744311786262
2015-04-23,0.001804835543421703
2015-04-24,0.0028649834540518115
2015-04-27,0.0036360845310372232
2015-04-28,-4.8434247261501486e-05
2015-04-29,-0.00677316642100793
2015-04-30,-0.003540091145071531
2015-05-04,-0.002055210075521264
2015-05-05,-0.008822047474770918
2015-05-06,-0.0035872689849476475
2015-05-07,0.004663702938539877
2015-05-08,0.010193607602740986
2015-05-11,-0.011548251351731788
2015-05-12,0.0003170709483647511
2015-05-13,-0.001098399847490214
2015-05-14,0.008906406086722416
2015-05-15,0.006853970094269504
2015-05-18,-0.005462025415436553
2015-05-19,-0.003523886927847211
2015-05-20,0.000863587596972984
2015-05-21,0.0046850474954582624
2015-05-22,-0.002600510981798884
2015-05-26,-0.0040085050154531916
2015-05-27,0.0063565816503438
2015-05-28,-0.001371891216157087
2015-05-29,-0.004961067696381489
2015-06-02,-2.213196848130559e-05
2015-06-03,0.001577927857105981
2015-06-04,-0.004211824580822874
2015-06-05,-0.006287001390563248
2015-06-08,-0.0016976515198019397
2015-06-09,-0.0036448892717098904
2015-06-10,0.009456008376464578
2015-06-11,0.0041021464586707985
2015-06-12,-0.004462173419382769
2015-06-15,-0.0025050520847589193
2015-06-16,0.000722129253016281
2015-06-17,-0.002695071877062994
2015-06-18,0.004157834913668604
2015-06-19,4.0719987176124856e-05
2015-06-22,0.007346467208496034
2015-06-23,0.0013996924129913977
2015-06-24,-0.0037535551052896255
2015-06-25,-0.00019350179536864053
2015-06-26,-0.0003691883020419351
2015-06-29,-0.012953629628297844
2015-06-30,-0.0009353848579453391
2015-07-02,0.0006094576418151001
2015-07-06,-0.0011714173473397164
2015-07-07,0.004068433476476521
2015-07-08,-0.00631991135689703
2015-07-09,-0.00036258248786649684
2015-07-10,0.008109050458146696
2015-07-13,0.0020599087701490934
2015-07-14,0.0031420773432519144
2015-07-15,0.0012887628988555004
2015-07-16,0.005638145360244134
2015-07-17,6.886748089717096e-05
2015-07-20,-0.0018569534311498482
2015-07-21,-0.0005837563372431301
2015-07-22,-0.0005770668869636415
2015-07-23,-2.0548825580921484e-05
2015-07-24,-0.0031759081094134955
2015-07-27,-0.0018826417618801542
2015-07-28,0.0038686015831989407
2015-07-29,0.0017410663028065998
2015-07-30,0.0005634020386663139
2015-07-31,0.0035466306933310534
2015-08-04,-0.0017967864905623202
2015-08-05,0.002816308848242538
2015-08-06,-0.002634971310977983
2015-08-07,0.00011658214402006712
2015-08-10,0.007398668770080894
2015-08-11,-0.006752690340025342
2015-08-12,-0.002383938611918055
2015-08-13,-0.000997505426976474
2015-08-14,0.0013639947427104893
2015-08-17,0.0017172881315674837
2015-08-18,-0.00396355372635738
2015-08-19,-0.004617553402244382
2015-08-20,-0.01438481365816163
2015-08-21,-0.017414556876204797
2015-08-24,-0.02374215284720144
2015-08-25,-0.00282290888180826
2015-08-26,0.02027180031849843
2015-08-27,0.012387890168648781
2015-08-28,-0.0007753664148325997
2015-08-31,-0.0055171812073587555
2015-09-02,0.008536822178488076
2015-09-03,0.0008435229551021927
2015-09-04,-0.010070489172811488
2015-09-08,0.014146790057600223
2015-09-09,-0.004929207498262341
2015-09-10,0.0036205829369785514
2015-09-11,0.0012780654802527645
2015-09-14,-0.003442574367300918
2015-09-15,0.0036687579981836997
2015-09-16,0.005919754575637217
2015-09-17,0.002339070367806527
2015-09-18,-0.012345540663578021
2015-09-21,-0.000718752873685553
2015-09-22,-0.010828422574777712
2015-09-23,-0.0014436310673699804
2015-09-24,-0.0015286308662612884
2015-09-25,0.002409694733885403
2015-09-28,-0.010657863232227928
2015-09-29,0.000877385679803951
2015-09-30,0.00995200455009657
2015-10-02,0.009424516704574889
2015-10-05,0.012073873208205231
2015-10-06,0.0008484698859741581
2015-10-07,0.0062245211876202685
